Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the state of the NA server?,What do you think about the NA pace compared to others servers?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Do you think Aniplex and DW care about the F2P NA player and fanbase?,Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you saved SQ/tickets for any servant in any X time?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ",Have you used more SQ than expected for one servant?,What do you think about the NA pace compared to others servers?,What do you think about the state of the NA server?,"Would you like an game option to, or Auto-Play, or NP skip? or Both? or none?",Who is your favorite Servant in the game?,Who is your most hated Servant in the game? (if none just skip the question),"Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","As last question, did you start with an SQ account, or rerolling to get a determined FIVE star servant? (reroll for 4* does not counts)"
16/02/2019 22:03:12,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride], Miyamoto Musashi","Gilgamesh, Arjuna","Scathach, Karna, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu","Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, King Hassan","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,59,No,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",Both,Arash,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:15,F2P,Mordred,,Scathach,,Tamamo-no-mae,,"Sakata Kintoki, Minamoto no Raikō",,,Yes,Between 6 and 12 months,5,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",None,Yes,Raikou,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:26,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Miyamoto Musashi","Gilgamesh, Orion, Arjuna, Ishtar","Scathach, Artoria Pendragon [Lancer], Enkidu",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin","Jack the Ripper, King Hassan","Cu Chulainn [Alter], Florence Nightingale, Mysterious Heroine X (Alter)","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],Yes,More than 15 Months,32,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Asagami Fujino,Arjuna,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:33,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]","Gilgamesh, Orion","Karna, Tamamo no Mae [Lancer]","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin",,,"Jeanne D'arc, Amakusa Shirou",,Yes,More than 15 months,19,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Auto-Play,Tamamo caster,Jeanne Alter,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:41,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride], Miyamoto Musashi",Artoria Pendragon [Archer],Artoria Pendragon [Lancer],Ozymandias,"Tamamo-no-mae, Illyasviel von Einzbern, Merlin","MHX, Cleopatra","Cu Chulainn [Alter], Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,14,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Both,EMIYA,Raiko ,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:44,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Miyamoto Musashi","Orion, Arjuna",Karna,"Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin","Jack the Ripper, King Hassan","Sakata Kintoki, Vlad III, Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 Months,25,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Asterios,Kiyohime,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:47,F2P,,Ishtar,,,Tamamo-no-mae,,,,,Yes,Between 3 and 6 months,3,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Slow, the content should be released faster to catch up CN/JP",NP Skip,Maybe,Cu Chulainn [Alter],,Male,"Yes, I did start with a SQ account",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:51,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,Altera,Nikola Tesla,,Francis Drake,"Tamamo-no-mae, Merlin",Jack the Ripper,Florence Nightingale,,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,8,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Astolfo,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:03:55,F2P,Mordred,,,,Merlin,,,,Edmond Dantes,No,Between 1 and 3 months,3,No,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",NP Skip,Yes,Merlin,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:04:23,F2P,Okita Souji,Arjuna,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Vlad III,,,Yes,More than 15 months,7,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Slow, the content should be released faster to catch up CN/JP",NP Skip,Maybe,Ereshkigal,Scathach,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:04:25,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,,Orion,Artoria Pendragon [Lancer],,"Tamamo-no-mae, Xuanzang, Merlin",Jack the Ripper,Vlad III,Amakusa Shirou,,Yes,More than 15 months,9,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",Both,Garcher,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:04:39,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]","Orion, Arjuna","Scathach, Enkidu",,"Zhuge Liang [El-Melloi II], Merlin",,"Vlad III, Cu Chulainn [Alter]",Amakusa Shirou,Jeanne D'arc [Alter],No,More than 15 months,20,Yes,"Slow, the content should be released faster to catch up CN/JP","Bad, DW and Aniplex should do a better management of the NA server",Both,Scat,Liz,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:04:47,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer], Ishtar","Scathach, Brynhildr, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu","Francis Drake, Queen Medb, Iskandar, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","MHX, Shuten Douji, King Hassan","Vlad III, Florence Nightingale, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",No,More than 15 Months,43,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Avenger Edmond Dantes ,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:04:57,F2P,"Okita Souji, Miyamoto Musashi","Gilgamesh, Nikola Tesla",Enkidu,Francis Drake,Merlin,,,,,No,More than 15 months,7,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",NP Skip,Yes,Okita Souji,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:04:59,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Miyamoto Musashi","Arjuna, Artoria Pendragon [Archer], Ishtar",,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",King Hassan,Florence Nightingale,,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,12,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Arturia Pendragon,,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:05:27,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride], Miyamoto Musashi","Orion, Artoria Pendragon [Archer], Ishtar","Scathach, Artoria Pendragon [Lancer], Enkidu","Ozymandias, Quetzalcoatl","Tamamo-no-mae, Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX, King Hassan","Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,26,No,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Quetzalcoatl,Stheno,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:05:43,F2P,"Artoria Pendragon, Altera","Gilgamesh, Artoria Pendragon [Archer]","Scathach, Karna",,Leonardo Da Vinci,Jack the Ripper,,,Jeanne D'arc [Alter],No,More than 15 months,10,Yes,"Not good not bad, DW and Aniplex could do better management of the NA server","Good, the content is released at a good pace",NP Skip,Maybe,Carmilla,Benkei,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:05:55,F2P,,Gilgamesh,,,Xuanzang,,,,,No,Between 1 and 3 months,2,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",NP Skip,Maybe,Gilgamesh,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:05:56,F2P,,,,,Illyasviel von Einzbern,,,Jeanne D'arc,,No,Between 1 and 3 months,3,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",NP Skip,Yes,Okita Souji Alter,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:02,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",Ishtar,"Karna, Tamamo no Mae [Lancer]",,Xuanzang,,"Vlad III, Florence Nightingale",,,Yes,More than 15 months,9,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,"Nero Claudius, a of her forms",,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:04,F2P,Mordred,"Orion, Arjuna, Artoria Pendragon [Archer]","Scathach, Tamamo no Mae [Lancer]",Iskandar,Tamamo-no-mae,Cleopatra,,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,13,Yes,"Good, DW and Aniplex are doing a good management of the NA server","Good, the content is released at a good pace",Both,Maybe,Medusa,Edward Teach,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:09,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Gilgamesh,Scathach,Francis Drake,Merlin,Jack the Ripper,"Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,,Yes,More than 15 months,13,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Caenis,Passionlip,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:21,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Miyamoto Musashi",Gilgamesh,,Iskandar,"Zhuge Liang [El-Melloi II], Merlin",,,,,Yes,Between 6 and 12 months,6,Yes,"Slow, the content should be released faster to catch up CN/JP","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Musashi,Caligula,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:36,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Xuanzang, Merlin",,"Florence Nightingale, Mysterious Heroine X (Alter)",,,Yes,Between 12 and 15 months,4,Yes,"Slow, the content should be released faster to catch up CN/JP","Bad, DW and Aniplex should do a better management of the NA server",None,Bedivere,Elizabeth Bathory (any class),Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:37,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki, Miyamoto Musashi","Gilgamesh, Orion, Nikola Tesla, Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Brynhildr, Artoria Pendragon [Lancer], Enkidu","Francis Drake, Queen Medb, Iskandar, Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, Cleopatra, King Hassan","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō, Mysterious Heroine X (Alter)","Jeanne D'arc, Amakusa Shirou","Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 Months,,Yes,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",NP Skip,Arturia Archer,Karna,Male,"Yes, I did reroll for a 5*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:41,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",Ishtar,Brynhildr,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",King Hassan,"Sakata Kintoki, Vlad III, Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,17,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Mash,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:43,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride], Miyamoto Musashi","Nikola Tesla, Artoria Pendragon [Archer], Ishtar",Tamamo no Mae [Lancer],"Francis Drake, Queen Medb","Zhuge Liang [El-Melloi II], Leonardo Da Vinci, Illyasviel von Einzbern, Merlin",King Hassan,"Sakata Kintoki, Vlad III, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,,No,More than 15 months,23,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Both,Mash,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:06:57,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",Ishtar,,Queen Medb,"Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern",Jack the Ripper,"Florence Nightingale, Mysterious Heroine X (Alter)",Jeanne D'arc,Edmond Dantes,Yes,More than 15 Months,19,Yes,"Slow, the content should be released faster to catch up CN/JP","Bad, DW and Aniplex should do a better management of the NA server",None,Kiyohime,Tamamo,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:07:06,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride]","Gilgamesh, Arjuna","Scathach, Karna, Tamamo no Mae [Lancer], Enkidu",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin",,Cu Chulainn [Alter],,,Yes,Between 6 and 12 months,20,No,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",Auto-Play,Ereshkigal,,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:07:14,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion, Arjuna",Artoria Pendragon [Lancer],Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Illyasviel von Einzbern",King Hassan,"Cu Chulainn [Alter], Mysterious Heroine X (Alter)",Amakusa Shirou,Edmond Dantes,Yes,Between 6 and 12 months,19,Yes,"Slow, the content should be released faster to catch up CN/JP","Bad, DW and Aniplex should do a better management of the NA server",None,Brynhildr,Fionn,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:07:15,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Miyamoto Musashi",Orion,"Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",King Hassan,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,19,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Raikou,Gilgamesh (Archer),Male,Between 11 and 20,,,,,,No
16/02/2019 22:07:20,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,"Gilgamesh, Artoria Pendragon [Archer]",Enkidu,,Xuanzang,"Shuten Douji, Cleopatra, King Hassan",,Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",No,Between 6 and 12 months,13,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",None,Ereshkigal,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:07:28,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride], Miyamoto Musashi","Gilgamesh, Orion, Nikola Tesla, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Tamamo no Mae [Lancer], Enkidu","Francis Drake, Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin","Jack the Ripper, Shuten Douji, Cleopatra, King Hassan","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō, Mysterious Heroine X (Alter)",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",No,More than 15 months,70,No,"Good, the content is released at a good pace","Not good not bad, DW and Aniplex could do better management of the NA server",None,Mordred,Medb,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2019 22:07:40,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Mordred",,Enkidu,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Florence Nightingale,Jeanne D'arc,,No,More than 15 Months,11,Yes,"Good, the content is released at a good pace","Good, DW and Aniplex are doing a good management of the NA server",NP Skip,Tamamo Cat,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
